query_id,query,domain,gold_label
27,biotech companies,sanqifh.com,2
27,biotech companies,pharmavoice.com,1
3,AI startups in Berlin,districtone.berlin,1
34,venture capital firms,impactcapitalpartner.com,2
5,companies providing cloud migration services,exafactory.co.jp,2
34,venture capital firms,novacap.ca,1
66,customer relationship management (CRM) software,simple-soft.ru,2
4,renewable energy companies in Germany,cepp-capital.de,2
5,companies providing cloud migration services,onedata.sk,2
82,public relations agencies,perfectpitch-media.com,2
27,biotech companies,humanfocusedtesting.com,1
14,pharmaceutical companies,hskangjian.com,2
12,manufacturing in Baden-Württemberg,sellmaier.com,1
14,pharmaceutical companies,chinahaixia.com,2
14,pharmaceutical companies,palkoncap.com,1
5,companies providing cloud migration services,applyingknowledge.com,2
2,healthcare providers,infinitympaz.com,2
27,biotech companies,lindmik.com,2
2,healthcare providers,healthonellc.com,2
1,software companies,sweetsoftware.co.nz,1
15,logistics companies in the US,lowshiprate.com,2
12,manufacturing in Baden-Württemberg,schwarzwald-eisen.de,1
4,renewable energy companies in Germany,alpha-nts.com,2
34,venture capital firms,andarealty.com,1
1,software companies,psgequity.com,1
27,biotech companies,probatech.co.uk,1
56,defense contractors,qfinc.com,2
82,public relations agencies,americanaadvisors.com,2
3,AI startups in Berlin,nextstapp.net,2
12,manufacturing in Baden-Württemberg,bat-kehl.de,2
56,defense contractors,gtdsinc.com,2
2,healthcare providers,providercompliance.com,1
82,public relations agencies,epoch5.com,2
82,public relations agencies,syssitia.pl,2
82,public relations agencies,dewaalpr.com,2
34,venture capital firms,partechventures.com,2
15,logistics companies in the US,hotoho.com,0
11,tech companies in Munich,visieconsult.com,0
4,renewable energy companies in Germany,agrar-energie.com,2
82,public relations agencies,battenhall.net,2
3,AI startups in Berlin,kiez.ai,1
34,venture capital firms,saschajecht.com,2
34,venture capital firms,tyrventures.com,2
72,managed service providers (MSPs),portalwatch.com,2
12,manufacturing in Baden-Württemberg,glock-fensterbau.de,2
2,healthcare providers,provider1st.com,1
3,AI startups in Berlin,ingenio-ai.com,1
1,software companies,techsoft.com.br,2
1,software companies,latoapp.com,2
1,software companies,tw-online.de,2
82,public relations agencies,robertmasters.com.au,2
5,companies providing cloud migration services,stilettotech.ca,2
2,healthcare providers,medicalis.no,2
15,logistics companies in the US,richientrepreneurs.org,0
11,tech companies in Munich,loopdive.com,2
66,customer relationship management (CRM) software,jianbinglink.com,2
34,venture capital firms,clairvest.com,1
5,companies providing cloud migration services,observian.com,2
14,pharmaceutical companies,inkemia.com,1
14,pharmaceutical companies,pharmaplant.hu,2
66,customer relationship management (CRM) software,optimiser.com,2
11,tech companies in Munich,looplane.de,2
72,managed service providers (MSPs),uspass.com,0
11,tech companies in Munich,eurodsn.de,2
15,logistics companies in the US,landesk.mx,0
3,AI startups in Berlin,compaile.com,1
66,customer relationship management (CRM) software,e-central.hu,2
56,defense contractors,ae-concepts.com,2
27,biotech companies,perceptivelife.com,1
82,public relations agencies,temper.cz,2
15,logistics companies in the US,hokushin-net.co.jp,0
4,renewable energy companies in Germany,rener.com.ua,0
11,tech companies in Munich,kontron.ag,0
3,AI startups in Berlin,suincubator.ai,1
1,software companies,s-crafter.co.jp,2
5,companies providing cloud migration services,it2you.com.au,2
11,tech companies in Munich,mucdigital.de,1
15,logistics companies in the US,iron-haulers.com,2
72,managed service providers (MSPs),getatria.com,2
3,AI startups in Berlin,awtentik.com,1
27,biotech companies,bioqubeventures.com,1
56,defense contractors,mcsuniversal.com,2
12,manufacturing in Baden-Württemberg,lighthousetechmed.com,0
12,manufacturing in Baden-Württemberg,pagero.pl,1
3,AI startups in Berlin,prototype.berlin,2
27,biotech companies,deltatd.com,1
66,customer relationship management (CRM) software,keruhai.com,1
82,public relations agencies,mhwpr.com,2
1,software companies,ashford-inc.com,2
34,venture capital firms,timesarrow.net,2
82,public relations agencies,prsolutionscabo.com,2
34,venture capital firms,evanscapital.com,2
1,software companies,pursuitsoft.com,2
34,venture capital firms,olympuspartners.com,1
27,biotech companies,apimtherapeutics.com,2
34,venture capital firms,vistapointadvisors.com,1
12,manufacturing in Baden-Württemberg,knop-maschinen.de,1
34,venture capital firms,guidecp.com,1
27,biotech companies,gmo-research.jp,0
3,AI startups in Berlin,sibb.de,1
12,manufacturing in Baden-Württemberg,heilmannsoftware.de,0
11,tech companies in Munich,next-up.de,2
66,customer relationship management (CRM) software,seamlesscrm.co.uk,1
56,defense contractors,agilityts.com,2
5,companies providing cloud migration services,qineasy.com,2
11,tech companies in Munich,pregotel.de,2
2,healthcare providers,santemed.ch,2
14,pharmaceutical companies,convergenepharma.com,2
14,pharmaceutical companies,opelglobaloto.com,2
34,venture capital firms,seismiccc.com,2
4,renewable energy companies in Germany,ingenta.de,1
82,public relations agencies,ellevipr.it,2
72,managed service providers (MSPs),vanquish.de,2
11,tech companies in Munich,holm-computer-service.de,1
27,biotech companies,oncoxx.com,2
12,manufacturing in Baden-Württemberg,immodz.de,0
15,logistics companies in the US,packmulelogistics.com,2
2,healthcare providers,benefitproviders.com,0
3,AI startups in Berlin,tbo.de,1
12,manufacturing in Baden-Württemberg,est-gmbh.com,0
3,AI startups in Berlin,toolify.eu,1
82,public relations agencies,lancpr.com,2
66,customer relationship management (CRM) software,firmao.pl,2
56,defense contractors,chamescontracting.com,0
66,customer relationship management (CRM) software,flexits.info,2
1,software companies,witfields.com.cn,2
27,biotech companies,inkemia.com,2
72,managed service providers (MSPs),networkplatforms.co.za,2
27,biotech companies,rivervest.com,1
5,companies providing cloud migration services,tricolorinc.com,2
14,pharmaceutical companies,jrhggs.com,2
12,manufacturing in Baden-Württemberg,moenkemoellergmbh.com,1
14,pharmaceutical companies,paragonbiosci.com,1
66,customer relationship management (CRM) software,nscom.ru,2
82,public relations agencies,thekollectivagency.com.au,2
3,AI startups in Berlin,ai.associates,1
1,software companies,teamsoftware.com,2
12,manufacturing in Baden-Württemberg,emcaero.com,1
66,customer relationship management (CRM) software,unibiz.com,1
72,managed service providers (MSPs),cienagasystems.net,2
5,companies providing cloud migration services,cloudfuze.com,2
12,manufacturing in Baden-Württemberg,horn-technic.de,0
66,customer relationship management (CRM) software,acquibee.de,2
14,pharmaceutical companies,endpts.com,1
56,defense contractors,wbgconstruction.com,0
72,managed service providers (MSPs),crosstel.com,1
2,healthcare providers,healthproglobal.com,1
4,renewable energy companies in Germany,loscon.de,2
72,managed service providers (MSPs),technidata-its.de,2
1,software companies,entrenext.com,1
4,renewable energy companies in Germany,energy-insider.info,2
3,AI startups in Berlin,djiiga.de,1
5,companies providing cloud migration services,thecloudmovers.com,2
27,biotech companies,gsn319.com,2
82,public relations agencies,tellemgrodypr.com,2
4,renewable energy companies in Germany,ubp-kg.de,2
72,managed service providers (MSPs),mp-groep.nl,0
11,tech companies in Munich,multimedia-schmiede.de,2
4,renewable energy companies in Germany,solarinvest-deutschland.de,2
12,manufacturing in Baden-Württemberg,metall-verband.de,1
4,renewable energy companies in Germany,baltic-smart-energy.de,2
34,venture capital firms,longpointcapital.com,1
5,companies providing cloud migration services,phasechange.co.za,2
14,pharmaceutical companies,kineticos.com,1
72,managed service providers (MSPs),p2telecom.com,2
56,defense contractors,cortinasolutions.com,2
14,pharmaceutical companies,tigenpharma.com,2
56,defense contractors,meadconstruction.com,1
15,logistics companies in the US,viteusa.com,1
82,public relations agencies,bentoff.com,2
34,venture capital firms,umbrahelion.com,2
56,defense contractors,defensestudies.net,1
27,biotech companies,biolamed.pl,2
4,renewable energy companies in Germany,energieteam.net,2
11,tech companies in Munich,i-f-de.com,0
82,public relations agencies,aapr.com,2
56,defense contractors,boeing.com,2
27,biotech companies,swissdelicia.com,2
4,renewable energy companies in Germany,emporatis.com,2
15,logistics companies in the US,westlogistic.ru,0
