#,name,domain,summary,country,organization_size,summary_keywords
11,Probtosoft Technologies Private Limited,probtosoft.com,"Probtosoft Technologies Private Limited is a software products company that aims to convert real-world problems into software solutions across various domains. The company is currently in stealth mode and preparing to launch multiple products, including BizMan360 and the Learnendo App, with the Maha Scholar Mobile App also available for download. Their mission is to address diverse industry challenges through innovative software.",India,Micro (0-9),"software solutions, product development, stealth mode, mobile app, SaaS, technology, innovation, enterprise software, problem solving, B2B software"
12,SpiceLogic,spicelogic.com,"SpiceLogic is a software development company founded in 2007, specializing in technically-advanced, intuitive software products. They develop native Windows desktop software, mobile apps, and interactive web applications using Microsoft .NET technology. Their solutions cater to a diverse range of consumers including project managers, decision makers, engineers, IT professionals, and students, offering services in business applications and embedded systems.",Canada,Small (10-49),"software development, Microsoft .NET, desktop software, mobile apps, web applications, business applications, embedded systems, intuitive software, technical solutions, software products"
13,(주)위프로소프트,weprosoft.co.kr,"(주)위프로소프트 is an e-commerce company specializing in the sale of software products. They offer a wide range of software from major vendors like Microsoft, Adobe, Autodesk, and Acronis, including operating systems, office suites, creative software, and security solutions. The company also provides services such as quote requests and guidance on official documents, catering to both corporate and individual customers.",South Korea,Small (10-49),"software sales, e-commerce, Microsoft, Adobe, Autodesk, Acronis, antivirus, operating systems, office software, business solutions"
14,Eve Infotec,eveinfotec.in,"Eve Infotec offers innovative software solutions, as indicated by its tagline. The company appears to be involved in the technology sector, providing software development or related services. Further details about specific products, services, or its mission are not provided on the website.",India,Micro (0-9),"software solutions, innovative technology, software development, IT services, tech company"
15,"Winzig, LLC",winzig.com,"Winzig, LLC is a software company that is just beginning its operations. The company has a copyright dating back to 2011, suggesting a long-term development or holding period. Its primary focus appears to be on creating software products, though specific details are not yet available.",United States,Micro (0-9),"software company, technology, product development, startup, LLC, Winzig"
16,DDi Solutions,ddisolutions.com.au,"DDi Solutions specializes in building custom software, databases, and web applications for a diverse clientele including government entities, corporations, and small businesses. They create tailored solutions that can be standalone or integrated with existing systems, aiming to provide better business solutions through talented development.",Australia,Small (10-49),"software development, database development, web applications, custom software, business solutions, application integration, government software, corporate software, small business software, developers"
17,C&J Marketing Software,makeding.com,"C&J Marketing Software Co., Ltd. is a software company founded in 2009, focused on promoting the legalization of commercial software in China. They offer a wide range of software products for various sectors including industrial, educational, personal consumption, and office use, leveraging big data marketing to recommend suitable software. Their mission is to build a software ecosystem that benefits clients, manufacturers, channels, and the digital industry.",China,Small (10-49),"software company, commercial software, big data marketing, software ecosystem, digital tools, application security, CAD/CAM, statistical analysis, remote assistance, database management"
18,Coole-Software Walter,coole-software.ch,"Coole-Software Walter is a software development company founded in 2016, focusing on creating intuitive, robust, and stable applications with essential features. They prioritize long-term customer trust and value over frequent releases, with all development and operations conducted exclusively in Switzerland. The company aims to provide reliable software solutions.",Switzerland,Micro (0-9),"software development, intuitive software, robust applications, stable software, Swiss development, reliable solutions, user-friendly, long-term value, software company, customer trust"
19,Breakwater Software Inc.,breakwatersoftware.com,"Breakwater Software Inc. appears to be a software development company, as indicated by its name and the presence of a 'Log In' button and menu items like 'Home', 'New Page', and 'Members'. The website provides minimal information, suggesting a focus on its software products or services, though specific details are not available.",United States,Micro (0-9),"software, development, technology, web services, company, inc"
20,淮南市微视网络技术有限责任公司,hnwswl.cn,"淮南市微视网络技术有限责任公司 appears to be a technology company offering software solutions. Their website highlights features like quick, lean, and market-focused software, with specific mentions of update deployment, full configurability, and white-label options. The company aims to serve thousands of customers through creativity, integrity, and innovation.",China,Micro (0-9),"software solutions, technology, update deployment, configurable software, white label, innovation, market-focused, customer service, web development, tech company"
21,Dejavu Software,ozgetur.com.tr,"Dejavu Software is a technology company specializing in next-generation software solutions. They transform businesses through cutting-edge technology and innovative engineering, delivering lightning-fast, secure, and reliable software. With over 10 years of experience, they have successfully delivered over 500 projects to more than 50 enterprise clients.",Turkey,Medium-sized (50-249),"software solutions, innovative engineering, cutting-edge technology, enterprise clients, project delivery, secure software, reliable software, performance optimization, software development, tech company"
22,"Dartex Software, Inc.",dartex.com,"Dartex Software, established in 1985, focuses on delivering computing power and useful information to business users. The company specializes in software solutions designed to enhance business operations through technology. Its mission is to make computing power accessible and beneficial for businesses.",United States,Micro (0-9),"software, business solutions, computing power, information technology, business users, software development, enterprise software, data solutions, 1985, tech company"
23,广州市壹软网络科技有限公司,qzooe.com,"Guangzhou Yiruan Network Technology Co., Ltd. is a technology company specializing in the development of software and hardware products. Their offerings include management software for teams and sales, inventory management systems, smart invoicing solutions, and specialized applications for restaurants and wealth management. The company focuses on providing practical digital solutions for businesses to improve efficiency and profitability.",China,Small (10-49),"software development, hardware products, management software, inventory management, invoicing solutions, restaurant technology, wealth management app, business solutions, digital transformation, technology company"
24,浙江万朋数智科技股份有限公司,landing.vip,"浙江万朋数智科技股份有限公司, also known as Wanpeng Digital Intelligence Technology, provides software solutions including the 'Lan Ding' client which supports Windows, MacOS, iOS, and Android. Their offerings include features for transaction management, new 'Ding Yi Xia' functions, and a meeting system. The company focuses on developing and distributing digital tools for business operations and communication.",China,Large enterprise (250+),"software development, mobile applications, desktop applications, transaction management, meeting system, digital solutions, business software, communication tools, tech company, software distribution"
25,EBRIT Sp. z o. o.,ebr-it.com,"EBRIT Sp. z o. o. is an independent software company specializing in creating innovative B2B and B2C solutions. With over a decade of market experience, they offer cross-platform software, cloud applications, reporting tools, AI-based solutions, and technical support. Their mission is to develop effective, high-quality software products and maintain a resilient team with high employee retention.",Poland,Medium-sized (50-249),"software development, B2B solutions, B2C solutions, cloud applications, cross-platform software, AI solutions, technical support, agile teams, IT services, software company"
26,Etinel Software,etinel.pl,"Etinel Software is a team of passionate developers focused on creating innovative software solutions and developing their own projects rather than taking on client work. Their mission is to blend technology and creativity to develop unique products that enhance how people work and play. The company emphasizes a forward-thinking approach, embracing new technologies and AI to build engaging digital experiences.",Poland,Small (10-49),"software development, innovative solutions, digital signage, sales automation, production management, AI technologies, proprietary projects, product development, tech company, software engineering"
27,Mckit,mckit.co.il,"Mckit was a company that provided software solutions, likely in the engineering or industrial design space, before being acquired by Siemens Digital Industry Software. The provided text indicates a redirection to the Siemens website, signifying the integration of Mckit's operations and offerings into Siemens' broader portfolio. Its former focus was on specialized software for industry.",Israel,Small (10-49),"software solutions, industrial software, engineering software, Siemens, acquisition, digital industry, technology integration, product lifecycle management, design software, manufacturing software"
28,Sierra Software Systems Inc.,sierrasoftwaresystems.com,"Sierra Software Systems Inc. appears to be a software development company that offers featured software products. The website provides basic navigation to Home, Products, and Contact Us sections, indicating a focus on software solutions. Its market position and specific offerings are not detailed beyond the mention of 'Featured Software'.",India,Micro (0-9),"software development, software products, technology, featured software, IT solutions, Sierra Software Systems"
29,FAXON,faxon.opole.pl,"FAXON is a Polish company specializing in the development and distribution of proprietary software solutions, including medical practice management (SOGaL, Rejestracja), accounting, HR, and sales/warehouse systems. They also offer services such as remote technical support, implementation of fiscal cash registers, and specialized software for electronic medical documentation and shareholder registry management. FAXON aims to provide comprehensive IT solutions for businesses and healthcare providers.",Poland,Small (10-49),"software development, medical software, accounting software, HR software, sales software, remote support, fiscal cash registers, EDM, KSeF, proprietary software"
30,Tocal Web,tocalweb.com,"Tocal Web offers innovative software solutions. The company's website content is minimal, primarily focusing on a contact section and cookie policy, suggesting a focus on software development or IT services. Its market position and specific offerings are not detailed.",Mexico,Micro (0-9),"software solutions, innovative software, IT services, web development, technology, software company"
31,Grey Rock Software Ltd.,greyrocksoftware.com,"Grey Rock Software Ltd. is a software development company focused on creating simple, elegant, and functional software solutions. They emphasize user experience and reliable implementation, aiming to provide inherently useful tools. The company's philosophy centers on the power of simplicity in software design.",United Kingdom,Micro (0-9),"software development, simple software, functional software, user experience, reliable implementation, software solutions, elegant design, tech company, software engineering, application development"
32,"PlexObject Solutions, Inc.",plexobject.com,"PlexObject Solutions, Inc. is a software company based in Seattle that develops and provides both consumer and enterprise software products. Their offerings aim to enhance digital experiences for individuals and streamline operations for businesses through innovative, high-quality solutions. The company focuses on customer satisfaction and leverages its team's expertise to deliver tailored software that drives productivity and success.",United States,Medium-sized (50-249),"software development, consumer software, enterprise solutions, innovation, quality, customer service, productivity tools, business software, tech company, Seattle"
33,ExApps,exapps.co.za,ExApps is a software solutions provider offering a range of products for various environments. They also provide custom development services and encourage potential clients to contact them for specific needs. The company aims to deliver tailored software solutions.,South Africa,Micro (0-9),"software solutions, custom development, software products, technology, software services, application development, user products, software, solutions, development"
34,DRPU Software Pvt. Ltd. and Pro Data Doctor Pvt. Ltd.,drpudomains.com,"DRPU Software Pvt. Ltd. and Pro Data Doctor Pvt. Ltd. are product-based software development companies based in India's National Capital Region. Pro Data Doctor was established in 2005 and together they employ hundreds of professionals developing cost-effective, reliable, and user-friendly software solutions for various industries. They focus on high-quality standards and leverage their expertise to create powerful tools.",United States,Medium-sized (50-249),"software development, product-based company, India, NCR, software tools, cost-effective solutions, reliable software, user-friendly, industry solutions, IT services"
35,iTrax Solutions,itraxsolutions.co.za,"iTrax Solutions is a developer and supplier of specialized software solutions with applications in manufacturing, packaging, warehousing, logistics, and asset tracking. They focus on leveraging modern technologies to deliver high-performance, user-friendly software for industries including chemical, pharmaceutical, food and beverage, banking, and retail. Their product offerings include Labelling Solutions and Service Delivery Solutions, aiming to provide clients with stable, robust, and scalable technology investments.",South Africa,Small (10-49),"software solutions, specialized software, manufacturing software, logistics software, asset tracking, labelling solutions, service delivery, technology investment, user experience, high performance software"
36,Techframe,techframe.pt,"Techframe is a company that has been delivering exceptional software for over 20 years. They operate across various business units including Information Systems, Military & Security, and Gaming & Entertainment. The company emphasizes a strong culture where employees can excel and focuses on aligning client interests with their own.",Portugal,Medium-sized (50-249),"software development, information systems, military software, security solutions, gaming, entertainment, research and development, innovation, tech company, software solutions"
37,"Vistasource, Inc.",vistasource.com,"Vistasource, Inc. offers software solutions for Windows and Unix operating systems, including a product named Applixware. The company's website provides download links and contact information, indicating a focus on software development and distribution. It appears to be a commercial entity operating in the software industry.",United States,Micro (0-9),"software solutions, Windows, Unix, Applixware, software development, download, tech company, enterprise software, operating systems, software distribution"
38,transNET Media® LLC,transnetmedia.com,"transNET Media® LLC appears to be a company that develops and markets software applications for diverse corporate markets. Their offerings are described as quick, lean, and market-focused, with features like update deployment, full configurability, and white-label options. The company emphasizes creativity, integrity, and innovation, and highlights a team backed by corporate investors.",United States,Micro (0-9),"software development, corporate markets, market-focused software, white label solutions, business applications, innovation, technology, software solutions, corporate investors, lean software"
39,Cardinal Software,cardinalsoftware.com,"Cardinal Software develops and markets software products for Global Fortune 500 companies, supporting both traditional MVS platforms and modern systems like UNIX and PCs. Their middleware enables clients to build robust, enterprise-wide distributed applications. The company focuses on providing solutions for large enterprises.",United States,Large enterprise (250+),"software development, middleware, distributed applications, enterprise software, MVS, UNIX, PC, Fortune 500, application development, enterprise solutions"
40,RoundRect Pty Ltd,roundrect.com,"RoundRect Pty Ltd is a software company specializing in the design and development of custom software solutions. With 30 years of industry experience, they offer services including concept and design, web and mobile application development, and consulting and project management. Their mission is to help clients by creating tailored software to meet specific needs.",Australia,Micro (0-9),"software solutions, custom software, web applications, mobile apps, software design, software development, consulting, project management, software company, tech"
41,The Software Mavericks Ltd.,tcfsoftware.com,"The Software Mavericks Ltd. is a company that specializes in building software products, described as 'cool' and 'sometimes quirky'. They have a portfolio of past and upcoming projects, including Orebituary, The Tools Foundry, TextZformatter, zubbit.io, and TCF Email Miner, indicating a focus on software development and innovation.",United Kingdom,Micro (0-9),"software development, quirky software, product development, tech innovation, software products, collaboration, digital solutions, software engineering, tech company, project portfolio"
42,意达软件开发工作室 (Yida Software Development Studio),yidawlw.com,"Yida Software Development Studio, established in November 2011, is an information technology enterprise focused on software research and development. They specialize in creating proprietary software products, particularly in the area of computer-aided drawing and design, with a mission to provide professional intelligent products and technical services based on efficiency, innovation, and pragmatism. The studio also engages in research related to technological innovation management and offers franchise opportunities for its computer painting software projects.",China,Micro (0-9),"software development, computer graphics, drawing software, technical innovation, IT enterprise, proprietary software, educational software, franchise, digital art, software studio"
43,MPG Interactive,mpginteractive.com,"MPG Interactive is a diversified holding company that designs and develops software solutions for businesses. They offer a suite of products including AutoLotManager for automotive inventory management and marketing, AutoLotClassics for classic vehicle advertising, Watch2Wear for an online watch marketplace, and SettlementDriver for online dispute resolution. Their mission is to help businesses maximize profits and reduce operating costs through innovative software.",United States,Small (10-49),"software solutions, holding company, automotive industry, inventory management, marketing tools, online marketplace, dispute resolution, website solutions, app development, business software"
44,Sphereline s.r.o.,sphereline.com,"Sphereline is a software company specializing in mobile, web, and cloud solutions. They offer a range of software development services to clients. The company has been operating since at least 2014.",Czechia,Micro (0-9),"software development, mobile solutions, web solutions, cloud solutions, software company, technology, IT services"
45,Radish Works LLC,radishworks.com,"Radish Works LLC is a software development company with a history of creating successful applications in Computer-Aided Design (CAD), video games, and 3D interactive environments. They have developed products like IntelliCAD, AutoCAD Map, and Cosmos Creator, and their Web Based Mission Manager software was acquired and became Mission Manager Inc. The company's motto is to tackle challenging projects, indicating a focus on innovation and complex problem-solving.",United States,Small (10-49),"software development, CAD, robotics, game development, 3D interactive applications, mission management software, Visio Corporation, Autodesk, Activision, SAP"
46,III Software LLC,iii-software.com,"III Software LLC is a software development company with 25 years of experience providing custom and hosted software solutions. They specialize in delivering superior products, excellent support, and reasonable pricing to various industries and institutions. The company transitioned from exclusively custom solutions to offering hosted products in 2004.",United States,Micro (0-9),"software solutions, custom software, hosted software, software development, industry software, institutional software, software products, technical support, software services, LLC"
47,IT VISION SRL,visioncompany.ro,"IT VISION SRL specializes in the design, development, and implementation of integrated software solutions, relational databases, and custom computer programs. They offer specialized software for the printing and packaging industries, including SYSTIPO for dynamic typography (pricing, quoting, cost monitoring) and SYSTIPO PROFESIONAL for integrated management and planning. Additionally, they provide GeMag for warehouse management and GeFact for invoicing and payment tracking, focusing on solutions for small and medium-sized businesses.",Romania,Micro (0-9),"software development, integrated solutions, database applications, printing industry software, packaging industry software, SYSTIPO, GeMag, GeFact, SME solutions, custom software"
48,Evanscorp Pty. Limited,evanscorp.com.au,"Evanscorp Pty. Limited is a boutique software development company and Independent Software Vendor (ISV) based in Wollongong, NSW, Australia. The company focuses on bringing ideas to life through software solutions, aiming to create communal wealth. Their operations suggest a focus on custom software creation and potentially proprietary software products.",Australia,Micro (0-9),"software development, Independent Software Vendor, boutique company, custom software, ISV, Wollongong, Australia, tech solutions, software products, idea realization"
49,"High Tech Horned Toad Software, LLC.",hightechhornedtoadsoftware.com,"High Tech Horned Toad Software, LLC. is a small application development company based in Forney, Texas. The company focuses on creating software applications. Its operations are limited, as indicated by its size and the minimal information provided on its website.",United States,Micro (0-9),"software development, application development, Texas, small business, software company"
50,Next Wave Software,thenextwave.com,"Next Wave Software is a software and consulting company founded in 1992, specializing in Macintosh, Unix, and Windows software. Although currently inactive and not soliciting new work, the company historically focused on protecting the privacy of computer users. They offer limited support for their legacy products and have recently launched a blog focused on software engineering best practices.",United States,Micro (0-9),"software development, consulting, Macintosh software, Unix software, Windows software, privacy, software engineering, legacy products, inactive company, tech blog"
51,Think Code Release Ltd,thinkcoderelease.com,"Think Code Release Ltd is a software development company that provides innovative and quality software solutions for both home and corporate users. They emphasize a customer-first approach, valuing feedback and offering support for their products and services. The company is registered in England & Wales and operates from London.",United Kingdom,Micro (0-9),"software development, software solutions, corporate software, home software, customer service, innovation, quality software, tech company, London, software engineering"
52,Chrono,torum.net,"Chrono is an independent tech company based in San Francisco, founded by Toru Maesaka. The company focuses on building systems software, with experience across various scales from startups to large tech firms. Chrono's mission appears to be delivering high-quality, detailed software solutions, leveraging the founder's extensive background in software development and company growth.",Norway,Micro (0-9),"systems software, software development, tech company, San Francisco, startup, big tech, IPO, acquisition, independent, coding"
53,AWC Software,awcsoftware.com,"AWC Software appears to be a technology company that develops software solutions. The provided error message indicates an application error within a React-based web application, suggesting the company is involved in web development or provides web-based software services. Further details about their specific products or services are not available from the provided text.",United Kingdom,Small (10-49),"software development, web applications, React, technology, SaaS, enterprise software, IT services, application development, digital solutions, software company"
54,Software Development Studio,sdstudio.ch,"Software Development Studio, founded in 1994, specializes in the creation, marketing, and maintenance of management software. Their flagship product, 'Architecte 4 Pro', is widely used by architectural and engineering firms in French-speaking Switzerland and is also utilized as a teaching tool in higher education institutions. The company focuses on providing tailored software solutions for professional management needs.",Switzerland,Micro (0-9),"software development, management software, architectural software, engineering software, software maintenance, software marketing, Swiss software, SME software, business solutions, CAD software"
55,ПО72,po72.ru,"ПО72 is a company specializing in software development and support. They offer software products, including free software, and provide downloads for the latest versions of their developed applications. The company focuses on delivering software solutions and maintaining them for their users.",Russia,Micro (0-9),"software development, software support, software products, free software, application development, tech company, software solutions, IT services, software downloads, ПО72"
56,Ayrmer Software Limited,intuitive-software-solutions.co.uk,"Ayrmer Software Limited is a company specializing in developing custom software solutions for businesses, including desktop software, web applications, and mobile apps. They focus on making complex tasks simple by understanding client needs, identifying issues, and recommending tailored solutions. Their process involves workshops to capture requirements, ensuring detailed specifications with fixed costs and timelines.",United Kingdom,Small (10-49),"software development, web applications, mobile apps, desktop software, business solutions, custom software, software engineering, IT consulting, application development, software lifecycle"
57,Comtek Software Technologies Pvt. Ltd.,comtek-india.com,"Comtek Software Technologies Pvt. Ltd. is a software products and services company with 25 years of experience, specializing in financial markets. They also provide software solutions for diverse sectors including manufacturing, real-estate, gems & jewellery, aviation, and healthcare. The company focuses on delivering efficient, future-proof solutions with strong expert support to enable client business growth.",India,Small (10-49),"software products, software services, financial markets, business solutions, manufacturing software, real-estate software, aviation software, healthcare software, platform independence, technology solutions"
58,"Cornerstone Software Solutions, Inc.",cssflorida.net,"Cornerstone Software Solutions, Inc. appears to be a software development company based on its name and the navigation links suggesting capabilities, research, and careers. The copyright notice indicates it is an established entity. The website likely offers software development services or products.",United States,Small (10-49),"software solutions, software development, technology, careers, research, capabilities, company"
59,Giant Software,giantsoftware.com,"Giant Software is a company that develops high-quality, reliable, and innovative software solutions. They believe in the 'magic of software' and aim to push the boundaries of what is possible with technology. The company focuses on creating software that is both advanced and user-friendly, catering to clients seeking cutting-edge technological tools.",United States,Micro (0-9),"software development, innovative technology, quality software, reliable solutions, software tools, tech company, software engineering, digital solutions, advanced technology, software magic"
60,REDPrint,redprint.com,"REDPrint is a Spanish company with 30 years of experience in software development, initially focusing on the graphic arts and press sectors. It has evolved into a technology and software development company offering versatile, adaptable, and innovative solutions for SMEs and large enterprises. Their services include custom software development, web development, and sustainable development practices, aiming to align technology with business objectives.",Spain,Small (10-49),"software development, web development, SME solutions, enterprise software, graphic arts software, press software, AI solutions, digital strategy, custom software, technology solutions"
61,"Astra Systems, s.r.o.",astrasystems.cz,"Astra Systems is a specialist in custom software development, providing tailored solutions for businesses for 14 years. They focus on information systems, CRM, web applications, and mobile applications, emphasizing professionalism, experience, and flexibility. The company positions itself as a reliable partner for businesses seeking custom software to enhance their operations.",Czechia,Small (10-49),"software development, custom software, information systems, CRM, web applications, mobile applications, software solutions, IT services, business software, software engineering"
62,Maggma,maggma.com.br,"Maggma is a software factory that transforms ideas into solutions, specializing in custom web systems, mobile applications (Android/iOS), and system maintenance and evolution. They aim to help clients bring their projects to life and focus on their core business by providing reliable software development services. The company emphasizes customer satisfaction and has a portfolio of satisfied clients.",Brazil,Small (10-49),"software factory, web systems, mobile applications, software development, custom software, system integration, system maintenance, API development, cloud infrastructure, digital solutions"
63,"AllFocus, Inc.",allfocus.com,"AllFocus, Inc. is a company that develops and markets software applications, including SplitBuddy, SplitBuddy Pro, FlowNote, and iTrackFast. These products appear to be focused on productivity, note-taking, and potentially task management or financial tracking. The company holds trademarks for these software titles, indicating a focus on digital product development and intellectual property.",United States,Small (10-49),"software development, mobile applications, productivity tools, note-taking apps, task management, trademark, digital products, software company, app development, intellectual property"
64,Nanosoft,nanosoft.co.za,"Nanosoft is a software development company established in 2001, specializing in building user-friendly business applications for finance, manufacturing, and service sectors. Their product suite includes CRM, ERP, Procurement, and Project Management software, designed to enhance business operations and growth for small to medium-sized businesses. They also offer software development, training, and mentorship programs.",South Africa,Small (10-49),"software development, business applications, CRM, ERP, project management, manufacturing software, finance software, service software, SME solutions, software training"
65,byte**art,byteart.at,"byte**art is a software development company specializing in creating simple, secure, and fast IT solutions for businesses. They offer a range of products including medical software for therapists and doctors, ERP software for SMEs in production and trade, and financial software for purchasing associations and cash register systems. Their mission is to provide creative information technology solutions tailored to business needs.",Austria,Small (10-49),"software development, medical software, ERP software, financial software, business solutions, IT solutions, therapist software, SME software, cash register systems, creative IT"
66,Dandy Labs Pty Ltd,dandylabs.com.au,"Dandy Labs is a small studio that develops and houses a select number of applications. The company explicitly states it does not undertake freelance or client work, focusing solely on its own app portfolio. Legal and contact information is available per individual project.",Australia,Micro (0-9),"app development, software studio, application portfolio, proprietary software, tech company, digital products, independent development, software solutions, mobile apps, tech innovation"
67,GRDUSA,grdusa.com,GRDUSA is a software development company that specializes in creating innovative software products and integrating cutting-edge technologies. They aim to deliver top-notch services and solutions to enhance customer experience and meet client needs. The company focuses on acquiring the latest technologies and developing advanced products to stay ahead in the industry.,United States,Micro (0-9),"software development, innovative technology, cutting-edge products, customer experience, software solutions, technology integration, product development, client services, tech company, software engineering"
68,応用電子開発 (Oyo Denshi Kaihatsu),aesoft.jp,"Oyo Denshi Kaihatsu is a company that transitioned from hardware design and microcontroller control to primarily focusing on PC software development. They specialize in creating business applications and control system software, with a strong emphasis on database integration. The company also offers specialized software solutions for financial accounting, personal number systems, and various care/rental management systems.",Japan,Micro (0-9),"software development, hardware design, microcontroller control, database applications, business software, control systems, financial accounting software, care management software, rental management software, IT solutions"
69,Codmatix Innovations,codmatix.com,"Codmatix Innovations is a company that offers innovative software solutions. The website indicates a focus on software development and related services, though specific details about their products or mission are not provided. The site appears to be a corporate landing page with contact information and copyright details.",India,Micro (0-9),"software solutions, innovative software, software development, technology, IT services, web development, custom software, digital solutions, tech company, software engineering"
70,Axios Software,axiossoft.com,"Axios Software is a software development company founded in early 2015 by a team of software engineers from Colorado State University. They specialize in developing, creating, and maintaining all types of software, including web applications, desktop applications, websites, and mobile apps. The company emphasizes a strong development process and aims to produce excellent software products for a diverse range of client needs.",France,Small (10-49),"software development, web applications, desktop applications, mobile apps, website development, graphic design, software engineering, custom software, tech company, software solutions"
71,Useche Software House,useche.software,"Useche Software House is a software development company specializing in the full software development lifecycle for specialized software. They offer SaaS solutions, desktop and mobile applications, and provide 24/7 support. With over 15 years of experience, they leverage state-of-the-art technology to solve problems and have developed proprietary software like Colibit, a trading exchange platform.",United States,Small (10-49),"software development, SaaS, desktop applications, mobile applications, software support, trading engine, proprietary software, custom software, technology solutions, software house"
72,Elsoft Developments,elsoft.co.za,"Elsoft Developments is a software development company that creates a wide range of software solutions, including desktop applications, websites, web systems, and mobile apps. Initially focusing on the scale and weighing industry, the company aims to expand its offerings to larger software solutions. They emphasize flexibility, 24/7 availability, and responsive design in their development approach.",South Africa,Micro (0-9),"software development, desktop apps, websites, web systems, mobile apps, weighing industry, responsive design, 24/7 availability, software solutions, Elsoft"
73,REBILDER,rebilder.com,"REBILDER is a company focused on developing premium products across various sectors, including real estate software (AppraisalHawk), luxury goods (Cuiven water purification), manufacturing solutions (Praetore), lifestyle software (SmarterWeeks), digital products (Snapshot sports cards), and luxury experiences (SplitVineyards). They emphasize solving real problems with obsessive attention to quality and have served over 50,000 clients with a team of over 50 members.",United States,Small (10-49),"software development, real estate technology, luxury goods, manufacturing solutions, lifestyle software, digital products, wine experiences, product development, quality, innovation"
74,ars laborandi,ars-laborandi.de,"Ars laborandi is a system house specializing in software development for small and medium-sized businesses. Since 2001, they have been developing custom enterprise software and also offer standard software solutions in cooperation with clients. They provide support, licenses, and downloads for their products, along with a customer login portal for existing clients.",Germany,Micro (0-9),"software development, enterprise software, business applications, system house, custom software, SME solutions, quality management software, patient communication software, open source, IT services"
