#,name,domain,summary,address,country,state,region,municipality,district,employee_class,organization_type,organization_size,company_register_date,company_register_court,nace_code,summary_keywords,lat,lon
11,Triffort Technologies Pvt Ltd,triffort.com,"Triffort Technologies is a software development company established in 2009, acting as a strategic partner for technological advancement. They specialize in creating impactful software solutions, including mobile and web applications, to drive growth and efficiency for their clients. The company emphasizes an agile approach, innovation, collaboration, and affordability in delivering high-quality, cutting-edge technology solutions.","G-78, Ground Floor 110025 Delhi  India",India,NCT of Delhi,West,,Delhi,unknown,Company,Medium-sized (50-249),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, technology solutions, mobile apps, web apps, agile development, innovation, collaboration, digital transformation, tech partner, software company",28.67852,77.09977
12,"PERIGON INFOTECH, INC",perigoninfotech.com,"Perigon Infotech, Inc. is a software development and management consulting firm established in March 2006. They specialize in providing comprehensive Information Technology services and solutions, including corporate application development and integration, implementation of commercial software and SaaS, and setting up dedicated development centers. The company aims to innovate and deliver solutions that meet client requirements.",4819 Emperor Blvd 27703-0089 Durham  United States,United States,North Carolina,Durham,,,0-10 employees,Company,Small (10-49),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, management consulting, Information Technology, IT solutions, corporate applications, SaaS implementation, dedicated development centers, system integration, technology services, consulting firm",35.880554,-78.84213
13,Software and Hardware Solutions,hypertechlab.co.il,"This entity focuses on the development of both software and hardware solutions. While specific details about their mission, market position, or primary offerings are limited, the website indicates a capability in creating integrated technology products. They are actively seeking inquiries through their contact form.",43 Haatzmaut Rd. 3303322.0 Haifa  Israel,Israel,,,,,11-50 employees,Company,Micro (0-9),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, hardware development, technology solutions, product development, engineering, innovation, tech company, custom solutions, integrated systems, research and development",,
14,Coded Consultants Ltd,codedconsultants.com,"Coded Consultants is a development company specializing in developer tools, mobile applications, and web applications. They offer their expertise to clients looking to discuss project requirements and develop software solutions. The company is registered in England and provides contact information for inquiries.",Apollo House Hallam Way FY4 5FS Blackpool  United Kingdom,United Kingdom,England,Lancashire,Warton and Westby,Fylde,0-10 employees,Company,Micro (0-9),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, developer tools, mobile applications, web applications, consulting, app development, custom software, tech solutions, IT services, project management",53.786873,-2.991372
15,XSoft Development,xsoft.ro,"XSoft Development is a company that appears to be involved in software development, as indicated by its name and the copyright notice. The website provides basic navigation to sections like 'About Us', 'Products & Services', 'Clients', and 'Contact Us', suggesting a focus on offering IT solutions and services to a client base. The phrase 'Embrace the challenge!' hints at a proactive and problem-solving approach to their work.",Str. Brasov Nr. 32 Bl. A11 Sc. C Et. P Ap. 33 Sect. 6  Bucuresti Sectorul 6  Romania,Romania,,,,,0-10 employees,Company,Micro (0-9),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, IT solutions, technology, services, clients, development, programming, software, tech company, consulting",,
16,microideology,microideology.org,"microideology is a software development company that creates custom software tools to help businesses achieve their goals. They offer solutions for starting new businesses, refining existing ones with high-quality products, training, and support, and act as technical partners for innovative ideas. The company aims to provide reasonable and workable solutions for client problems.",20-22 Wenlock Road N1 7GU London  United Kingdom,United Kingdom,England,Greater London,Hoxton West,Hackney,0-10 employees,Company,Micro (0-9),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, custom software, business solutions, technical partner, software tools, product development, training, support, consulting, innovation",51.53064,-0.093572
17,"EL SoftWare, Inc.",elsoftware.com,"EL SoftWare, Inc. is a software development company that provides tools for creating active websites and custom database solutions. They aim to assist businesses by offering software that addresses their specific needs. The company also appears to be involved in sponsoring and developing websites for other entities, such as harbour.wiki and SDOL School District Online.",850 State St 92101-6050 San Diego  United States,United States,California,San Diego,,,0-10 employees,Company,Micro (0-9),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, web development, database solutions, custom software, business tools, website design, IT services, software solutions, SaaS, technology",32.71742,-117.16277
18,Silicom Engineering,silicom.net,"Silicom Engineering is a technology partner offering IT solutions for businesses, specializing in custom software development, web application development, and mobile app development. With over 20 years of experience, they provide consulting, assistance, and software development services to address information technology challenges. Their core business includes developing bespoke software, modular solutions, web-oriented applications, and mobile apps, alongside technology training.",,Italy,Emilia-Romagna,Rimini,,Rimini,unknown,Company,Small (10-49),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, IT consulting, web applications, mobile apps, technology solutions, custom software, information technology, business solutions, software engineering, IT services",44.03795,12.60935
19,Breakthrough Technologies,breakthrough-tech.com,"Breakthrough Technologies is a software development company specializing in custom web, mobile, and enterprise solutions. They partner with early-stage ventures, progressive companies, and entrepreneurs to build scalable software products, focusing on innovative technologies and high-performing architectures. Their services aim to launch new opportunities and solve complex business problems with elegant, efficient solutions.",88 Sunnyside Blvd 11803-1591 Plainview  United States,United States,New York,Nassau,,,0-10 employees,Company,Small (10-49),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, web development, mobile development, enterprise solutions, technology partner, startup development, custom software, scalable software, software architecture, tech innovation",40.79411,-73.47113
20,BTTIS,bttis.com,"BTTIS is a software development company specializing in web, mobile applications, and websites. Their core mission is to provide high-quality, robust solutions to clients, addressing software and process-related challenges. They aim to transform client challenges into efficient results through digital solutions.",,Brazil,Minas Gerais,Governador Valadares,,,unknown,Company,Small (10-49),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, web development, mobile development, digital solutions, technology, IT services, custom software, process optimization, client solutions, web applications",-18.893473,-41.951126
21,wemove digital solutions,wemove.com,"wemove digital solutions is an IT partner specializing in custom software development, new technologies, and comprehensive IT project lifecycle management. They offer services from conception and design to implementation, operation, support, and maintenance. The company emphasizes creating bespoke software solutions, often utilizing open-source technologies, and has a strong commitment to continuous learning and client collaboration.",Hanauer Landstr. 52 60314 Frankfurt  Germany,Germany,Hessen,Frankfurt am Main,Frankfurt am Main,Frankfurt am Main,11-50 employees,Company,Medium-sized (50-249),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, IT solutions, custom software, open source, digital solutions, IT consulting, web applications, software lifecycle, technology partner, agile development",50.112663,8.701693
22,fixonal,fixonal.com,"Fixonal is a software development company that focuses on building innovative solutions for its partners. They emphasize strong partnerships, agile development practices, and delivering value through the right solution, at the right price, and in the right timeframe. The company aims to hone its craft and provide the best possible software solutions.",160 Robinson Road #14-04 068914 Singapore  Singapore,Singapore,,,,,unknown,Company,Micro (0-9),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, innovation, partnership, agile development, value delivery, software solutions, custom software, tech company, developer, client solutions",-27.369997,153.05336
23,致琢科技 (Softcrafter),vrezhou.cn,"致琢科技 (Softcrafter) is a technology company focused on providing software solutions and services. The company's motto, '致远创精 琢玉成器' (meaning 'reach far, create with excellence, polish jade into artifacts'), suggests a commitment to high-quality development and innovation. While specific services are not detailed, the website indicates a focus on software development and potentially consulting.",,China,,,,,11-50 employees,Company,Micro (0-9),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, technology solutions, innovation, software services, tech company, programming, IT consulting, software engineering, quality development, tech",,
24,"Devmatics, LLC",devmatics.io,"Devmatics is a full-service software development company that specializes in building custom software, mobile applications, integration solutions, and workflow automation. They focus on transforming ideas into practical business solutions by leveraging technology to solve organizational problems. Devmatics also offers services in Big Data & Analytics, eCommerce, and business consulting, aiming to enhance client operations and achieve business objectives.",4676 Commercial St Se 97302-1902 Salem  United States,United States,Oregon,Marion,,,unknown,Company,Small (10-49),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, mobile apps, integration solutions, workflow automation, custom software, eCommerce, data analytics, business consulting, technology solutions, enterprise software",44.8867,-123.032005
25,Codedealers,codedealers.nl,"Codedealers is a software development company that provides innovative software solutions and excellent service to businesses. They focus on custom development, maintenance, and improving business processes through technology. Their mission is to be a trusted partner in the technology world, helping clients achieve their vision and overcome business challenges.",Waalenburgsingel 265 1024 EV Amsterdam  Netherlands,Netherlands,Noord-Holland,Amsterdam,,,0-10 employees,Company,Small (10-49),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, custom software, business solutions, technology partner, process improvement, innovation, expert developers, client collaboration, digital transformation, software supplier",52.395016,4.960485
26,ITKuantics,kuantics.com,ITKuantics is a dynamic technology company that develops intelligent software and hardware solutions for businesses. They focus on creating profitable technological solutions by leveraging agile methodologies and prioritizing security throughout the development lifecycle. Their offerings aim to maximize client value from their operations through custom applications and modern functionalities.,,México,Tamaulipas,Tampico,,,unknown,Company,Small (10-49),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, hardware solutions, agile methodologies, technology solutions, business operations, custom applications, real-time notifications, adaptable platforms, IT consulting, cost-effective solutions",22.26394,-97.8753
27,"BerlinCo, Inc.",berlinco.com,"BerlinCo, Inc. is a technology company specializing in crafting custom software and web solutions to help businesses evolve and thrive. They offer services in tailored web and software development, data integrations, API solutions, and intelligent systems powered by cutting-edge technology. Their mission is to empower businesses with innovative, reliable, and scalable digital solutions.",3539 Scout Is 77494-6337 Katy  United States,United States,,,,,unknown,Company,Small (10-49),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, web development, digital solutions, technology, innovation, data integration, API solutions, intelligent systems, scalability, business solutions",,
28,Heyworth Technologies,heyworth.tech,"Heyworth Technologies offers custom IT solutions and experienced, creative software developers. The company focuses on providing software development services to clients. It operates within the technology and software development sector.",Hinterdorfstrasse 1b 5603.0 Staufen  Switzerland,Switzerland,Aargau,Lenzburg,,Staufen,0-10 employees,Company,Micro (0-9),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, IT solutions, custom software, developers, technology services, software engineering, outsourcing, tech consulting, digital solutions, programming",47.382584,8.16465
29,"Quaker Farms Consulting, LLC",quakerfarms.com,"Quaker Farms Consulting, LLC is a custom software development firm specializing in the design, development, and implementation of enterprise applications. They offer tailored software solutions to meet specific business needs. The company operates within the technology and consulting sector, providing expert services in application development.",683 Quaker Meeting House Rd 14472-9205 Honeoye Falls  United States,United States,New York,Monroe,,,0-10 employees,Company,Micro (0-9),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, enterprise applications, custom software, application implementation, IT consulting, software design, technology solutions, business applications, software engineering, consulting services",42.969242,-77.57097
30,Krondorsoft,krondorsoft.com,"Krondorsoft is a software development company specializing in creating custom software solutions. They focus on delivering high-quality applications tailored to meet specific business needs, leveraging modern technologies and agile methodologies. The company aims to provide innovative and reliable software products and services to its clients.",Ottergemsesteenweg 354 9000 Gent  Belgium,Belgium,Vlaanderen,Oost-Vlaanderen,Gent,Gent,unknown,Company,Micro (0-9),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, custom software, application development, software solutions, technology, agile methodologies, IT services, software engineering, client solutions, innovation",51.027916,3.7322898
31,Karman-Marchi Desenvolvimento,kmdesenvolvimento.com,"Karman-Marchi Desenvolvimento, founded in 2009 in São Paulo, is a software development company focused on providing versatile, flexible, and creative solutions to client problems. They leverage modern techniques and tools to deliver projects with agility, precision, and commitment to deadlines and budgets. The company prides itself on its team of talented professionals dedicated to finding optimal solutions for diverse challenges.",Rua Aristides Viadana 252 Bloco 02 Apt 104 05038-020 Sao Paulo  Brazil,Brazil,,,,,unknown,Company,Micro (0-9),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, technology solutions, agile development, problem solving, custom software, project management, innovation, client services, web development, app development",,
32,Flat White Ltd,flatwhite.eu,"Flat White Ltd is a software development consultancy that describes itself as a 'small forge of software developer enthusiasts'. The company focuses on providing software consulting services. Its online presence is minimal, suggesting a niche or early-stage operation.",Hoparduc utca 18. 6. 6725 Szeged  Hungary,Hungary,Csongrád,Szeged,,,0-10 employees,Company,Micro (0-9),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software consulting, software development, technology, consultancy, developer, enthusiasts, IT services, software solutions",46.240547,20.116226
33,AppSource,appsource.co.in,"AppSource offers innovative software solutions for businesses. While specific details about their products or services are not provided, the website indicates a focus on business software and solutions. The site also includes standard cookie consent and copyright information.",GURU RAM DASSNAGAR LAXMINAGAR 110092 Delhi Delhi  India,India,NCT of Delhi,West,,Delhi,11-50 employees,Company,Micro (0-9),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software solutions, business software, innovative technology, software development, enterprise solutions",28.618986,77.204895
34,BarraLabs,barralabs.cl,"BarraLabs is a technology development partner focused on creating innovative software solutions. They aim to simplify users' lives and enhance business competitiveness by providing accessible technological tools and applications. With a team experienced across various industries, BarraLabs is committed to improving user efficiency and performance.",Simon Bolivar 803 Pis 1 of 2 Centro  Antofagasta  Chile,Chile,,,,,unknown,Company,Micro (0-9),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, technology solutions, innovation, user applications, business competitiveness, efficiency, performance, tech partner, IT solutions, digital transformation",,
35,Dahlgren Software Consulting,dahlgrenconsulting.com,Dahlgren Software Consulting is a company that offers software consulting services. The website indicates a focus on providing expertise in software development and related solutions. It appears to be a service-oriented business within the technology sector.,914 E 23rd St 82001-3937 Cheyenne  United States,United States,Wyoming,Laramie,,,0-10 employees,Company,Micro (0-9),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software consulting, software development, technology services, IT consulting, software solutions, consulting firm",41.152733,-104.83798
36,PRODUCTORES DE SOFTWARE,prosoft.com.co,"This company develops integrated software solutions for various economic activities, boasting over 39 years of experience. They focus on providing fast, secure, and reliable technological solutions, ensuring their software is permanently updated and offering both in-person and virtual technical support. Their mission is to create adaptable systems tailored to the specific needs of their clients' businesses.",Km 1  Villavicencio  Colombia,Colombia,Meta,Villavicencio,,,unknown,Company,Small (10-49),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, system solutions, tech company, business software, IT support, software updates, enterprise solutions, custom software, experienced developer, reliable software",4.0539775,-73.71538
37,"Meyer Technologies, LLC",meyertechnologies.net,"Meyer Technologies, LLC is a software development company specializing in custom business solutions. They offer services including desktop applications, web applications, and mobile technology solutions. The company focuses on delivering tailored software to meet specific client needs, covering the entire development lifecycle from initial contact to post-installation support.",2990 S Atlantic Ave 32118-6002 Daytona Beach  United States,United States,Florida,Volusia,,,0-10 employees,Company,Micro (0-9),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, custom applications, desktop applications, web applications, mobile solutions, business software, IT services, software engineering, technology solutions, software implementation",29.169119,-80.97917
38,Brain Stars Technology,brainstarstech.com,"Brain Stars Technology is a software development company specializing in creating custom and platform-based technological solutions. They offer full-cycle development services, including web design, big data analytics, software testing, cloud solutions, custom software development, systems integration, and maintenance. Their mission is to transform ideas into reality through innovative and collaborative thinking, aiming to help companies achieve their goals with impactful, industry-specific software.",29 Kirkdale Ave CV6 4LN Coventry  United Kingdom,United Kingdom,England,Coventry,Holbrook,Coventry,unknown,Company,Small (10-49),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, custom solutions, web design, big data, analytics, cloud solutions, systems integration, software testing, IT services, technology solutions",52.446068,-1.5016602
39,Alliant Ventures Incorporated,alliantventures.com,"Alliant Ventures Incorporated provides software technology and programming solutions, focusing on integrated solutions and collaborative design. They offer powerful business intelligence platforms and software to help clients streamline operations and increase efficiencies. Their services aim to enhance customer interaction through technology solutions.",11655 S Tumble Brush St 80134-3094 Parker  United States,United States,,,,,unknown,Company,Micro (0-9),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software technology, programming solutions, integrated solutions, collaborative design, business intelligence, software development, operational efficiency, customer interaction, technology solutions, platform development",,
40,Travidux,travidux.com,"Travidux is a technology partner specializing in innovative software solutions, digital transformation, quality assurance, and data analytics. They craft custom web applications, mobile apps, enterprise software, and SaaS platforms to help businesses streamline operations and achieve growth. The company focuses on building seamless code creations and connected digital solutions, aiming to position clients at the forefront of their industries.","No. 964 R, Second Floor, Kattookkaran Arcade 680307 Thrissur  India",India,,,,,unknown,Company,Small (10-49),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, digital transformation, quality assurance, data analytics, custom software, web applications, mobile apps, SaaS, technology partner, IT solutions",,
41,LINKS4ENGG INDIA PVT. LTD,links4engg.com,"LINKS4ENGG is a software solution provider specializing in custom software development, web development, mobile app development, and AI applications. They aim to streamline business processes and increase productivity for clients across various industries including government, manufacturing, e-commerce, healthcare, transportation, and food. The company focuses on delivering robust, scalable, and secure solutions tailored to unique business needs.",213 Spruce St 22902-5940 Charlottesville  United States,United States,Virginia,Charlottesville,,,0-10 employees,Company,Small (10-49),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","Software Development, Web Development, Mobile App Development, AI Applications, Business Optimization, Custom Software, IT Services, Digital Transformation, Technology Solutions, Software Provider",38.02554,-78.47128
42,Vitec Software Group,3lsystem.se,Vitec Software Group is a software company that provides IT solutions for various industries. The company focuses on developing and delivering software products and services to its customers. It operates through different business units and aims to be a leading provider in its market segments.,Tvistevagen 47a 907 29 Umeaa  Sweden,Sweden,Västerbotten,Umeå,,,51-250 employees,Company,Large enterprise (250+),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software, IT solutions, software development, business units, technology, digital solutions, enterprise software, SaaS, software provider, IT services",63.81756,20.313522
43,Vitec Software Group,itmakeriet.no,Vitec Software Group is a software company that provides IT solutions for various industries. The company focuses on developing and delivering software products and services to its customers. It operates through different business units and aims to be a leading provider in its market segments.,,Norway,Nordland,Bodø,,,unknown,Company,Large enterprise (250+),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software, IT solutions, software development, business units, technology, digital solutions, enterprise software, SaaS, software provider, IT services",67.294876,14.446886
44,Frontyard,frontyard.co,"Frontyard is a software development company composed of experienced developers focused on new technologies. They offer their services for new projects, inviting potential clients to contact them via phone or email. The company emphasizes its passion for the art of software development.",16192 Coastal Hwy 19958-3608 Lewes  United States,United States,Delaware,Sussex,,,unknown,Company,Small (10-49),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, experienced developers, new technologies, project services, tech company, coding, programming, software solutions, consulting, IT services",38.76513,-75.21166
45,tcn,tcn.pt,"tcn is a company that develops custom software and hardware solutions, specializing in web, mobile, and electronic development. They focus on integrating systems to simplify processes and deliver unique solutions tailored to client needs. Their services include website and web application development, mobile application development, and electronic development.","Avenida Engenheiro Duarte Pacheco, Torre 2 14 C 1070-102 Lisboa  Portugal",Portugal,Lisboa,Lisboa,,Santa Isabel,11-50 employees,Company,Small (10-49),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, hardware solutions, web development, mobile applications, electronic development, system integration, custom solutions, technology, IT services, digital solutions",38.723812,-9.161408
46,ExApps,exapps.co.za,ExApps is a software solutions provider offering a range of products for various environments. They also provide custom development services and encourage potential clients to contact them for specific needs. The company aims to deliver tailored software solutions.,Unit 3 Marigold Place 121 Panorama Gauteng 1609.0 Kempton Park  South Africa,South Africa,,,,,unknown,Company,Micro (0-9),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software solutions, custom development, software products, technology, software services, application development, user products, software, solutions, development",,
47,南宁云游墨客网络科技有限公司,mocklab.cn,"Nanning Yunyou Moke Network Technology Co., Ltd. is a software development company focused on delivering high-quality software solutions. Their services span enterprise applications, mobile apps, cloud solutions, big data analytics, and AI/machine learning. The company offers a full lifecycle service from analysis and design to deployment and maintenance, driven by an experienced team of developers, designers, and project managers.",,China,,,,,unknown,Company,Small (10-49),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, enterprise applications, mobile apps, cloud solutions, big data, artificial intelligence, machine learning, IT services, technology solutions, software engineering",,
48,"Agileware Solutions, LLC",agileware.com,"Agileware Solutions is a technology provider specializing in custom software development, offering flexible, reliable, and affordable solutions. They focus on website development, application development (web, mobile, Windows), and legacy system integration. As a Microsoft Partner Program Member, they leverage Microsoft technologies to deliver tailored products that meet unique business needs, from e-commerce sites to integrated systems.",,United States,Ohio,Stark,,,unknown,Company,Small (10-49),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, custom software, website development, application development, mobile applications, legacy system integration, e-commerce, Microsoft Partner, technology solutions, IT services",40.898373,-81.40144
49,山西百宝塔网络科技有限公司,baibaota.com,"Shanxi Baibaota Network Technology Co., Ltd. is a technology company that provides comprehensive solutions for various industries by leveraging cutting-edge internet technologies to enhance user experience. Their core services include website construction, software development, APP/mini-program development, and custom development. The company aims to prioritize customers and serve with dedication, focusing on innovation and user satisfaction.",    China,China,Gansu,Dingxi,,Tongwei,0-10 employees,Company,Small (10-49),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","website development, software development, app development, custom development, user experience, internet technology, solutions provider, technology company, network technology, digital solutions",35.000065,104.999954
50,Công Ty TNHH Công Nghệ Michita Việt Nam,michita.vn,"Michita Vietnam Technology Co., Ltd. is a software development company specializing in custom management software, website design, and mobile application development. They focus on creating user-friendly, scalable, secure, and innovative solutions tailored to client requirements. The company aims to provide high-quality software that offers distinct advantages over existing products.","No 24 Trung Yen 13, Khu Do Thi Trung Yen  Ha Noi  Vietnam",Vietnam,Hà Nội,Cầu Giấy,,Trung Hoà,0-10 employees,Company,Small (10-49),,,"NACE K: Telecommunication, computer programming, consulting, computing infrastructure and other information service activities","software development, custom software, web design, mobile app development, management software, technology solutions, app development, web application, software engineering, IT services",21.009935,105.79167
