query_id,query,domain,name,summary
11,tech companies in Munich,agile-robots.com,Agile Robots SE,"Agile Robots SE is a company specializing in AI-driven robotics and automation solutions for industries such as automotive, consumer electronics, and healthcare. Founded in 2018 by robotics researchers, it has grown into a global leader by integrating artificial intelligence with robotics to create intelligent automation. The company focuses on delivering high-quality, fast time-to-market solutions and is expanding its offerings with products like the humanoid robot Agile ONE."
11,tech companies in Munich,bitflow.de,BitFlow GmbH,"BitFlow GmbH is a German company specializing in technical due diligence, IT audits, and strategic business development for tech investments. They bridge the gap between technology and business for investors and entrepreneurs, offering services like technical due diligence for IT companies, open-source license checks, and cybersecurity audits. Their mission is to provide clear, fact-based assessments and actionable recommendations to reduce investment risks and optimize technology for businesses."
11,tech companies in Munich,bmw-i.com,ForgeRock AS,"ForgeRock AS is a technology company specializing in identity and access management solutions. They provide a platform that enables organizations to manage digital identities, secure access to applications and data, and ensure compliance. Their offerings cater to a wide range of industries seeking robust identity governance and administration."
11,tech companies in Munich,dig8ital.com,dig8ital,"dig8ital is a company specializing in cybersecurity solutions, offering services such as cyber security strategy, transformation, cloud security, and risk management. They aim to build cyber resilience for organizations by adopting innovative, comprehensive, strategic, and pragmatic approaches. The company partners with executives and business leaders across various industries to provide expert strategic advice in the digital ecosystem."
12,manufacturing in Baden-Württemberg,a1-medical.net,a1 medical GmbH,"a1 medical GmbH is a German company founded in 2012, specializing in the development, manufacturing, and distribution of high-quality surgical and microsurgical instruments for ophthalmology. They offer a product range of over 3,000 items, including reusable stainless steel and titanium instruments, with a focus on quality and innovation, evidenced by their MDR certification. The company is based in Tuttlingen, a region known for medical technology."
12,manufacturing in Baden-Württemberg,beg-buerkle.de,BEG Bürkle GmbH & Co. KG,"BEG Bürkle GmbH & Co. KG is a leading manufacturer of industrial PC solutions, known as BEGits, with over 40 years of experience. They specialize in designing and producing innovative, customized industrial PCs for global deployment, focusing on principles of innovation, sustainability, customer benefit, and satisfaction. The company offers a full lifecycle support for their products, from concept to production and beyond."
12,manufacturing in Baden-Württemberg,cnc-aktepe.de,CNC Aktepe,"CNC Aktepe specializes in precision CNC machining and the manufacturing of heavy-duty telescopic slides, marketed under the ""made in germany"" quality seal. They offer a range of services including series production, small-batch manufacturing, and assembly, catering to various industries that require high-load capacity and stable components. The company emphasizes quality, reliability, and customer satisfaction, positioning itself as a professional partner for industrial and craft applications."
12,manufacturing in Baden-Württemberg,firat-doenerproduktion.de,Firat Dönerproduktion Bochum,"Firat Dönerproduktion Bochum, established in 1994 and located in the Ruhr area, specializes in the production and distribution of döner meat. They offer a variety of döner skewers, including Iskender, Hindi, Tavuk, Kusbasi, and Dana Yaprak, with a focus on quality and tradition. The company emphasizes that their milk-marinated skewers are phosphate-free and highlights their commitment to trust in their meat products."
12,manufacturing in Baden-Württemberg,hoerr-gmbh.de,Hörr Präzisions-Metalltechnik GmbH,"Hörr Präzisions-Metalltechnik GmbH, founded in 1991, specializes in the CNC turning and milling of precision metal parts. With 18 employees operating in a two-shift system, the company is a certified operation since 2000, ensuring high-quality production for its clients. Their primary goal is to provide friendly, professional, and first-class service to customers in various industries."
12,manufacturing in Baden-Württemberg,kaufmann-micro.de,Ewald Kaufmann GmbH & Co. KG,"Ewald Kaufmann GmbH & Co. KG specializes in the production of high-precision micro turned parts, contact pins, and inserts. They offer a range of complementary services including parts cleaning, vibratory finishing, heat treatment, surface finishing, and assembly. Serving diverse industries such as automotive, electronics, medical technology, and mechanical engineering, the company emphasizes quality and precision in its manufacturing processes."
12,manufacturing in Baden-Württemberg,kerling-gmbh.de,Kerling Kunststofftechnik GmbH,"Kerling Kunststofftechnik GmbH is a German company specializing in the manufacturing of complex plastic injection molded parts and metal processing. With over half a century of experience, they work with various thermoplastics, high-filled compounds, and high-temperature materials. The company emphasizes quality, innovation, and environmental responsibility, holding ISO 14001 and ISO 50001 certifications and operating climate-neutrally."
12,manufacturing in Baden-Württemberg,kuebler-essig.de,KÜBLER ESSIG GmbH,"KÜBLER ESSIG GmbH is a technology partner specializing in the redesign and optimization of manufacturing processes through factory automation and mechanical/plant engineering. They develop and manufacture custom automation solutions, technologies, process steps, assemblies, and complete machines and plants. Under its brand BOLD.ENERGY, the company also offers solutions in renewable energies, including PV power generation, energy storage, e-mobility charging, heat pumps, and energy management."
12,manufacturing in Baden-Württemberg,murtfeldt-as.de,Murtfeldt Additive Solutions GmbH,"Murtfeldt Additive Solutions GmbH appears to be a company involved in 3D printing solutions, indicated by the upload prompt for 3D data and the company name. The website also features a 404 error page, newsletter signup, social media links, and cookie consent, suggesting a functional online presence for a business operating in the additive manufacturing sector."
12,manufacturing in Baden-Württemberg,rehuber.de,Robert E. Huber GmbH,"Robert E. Huber GmbH specializes in the manufacturing of precision mechanical products and components, with a particular focus on producing high-quality writing instruments and accessories for renowned global brands. They offer a range of services including assembly, product outfitting, logistics, material sourcing, and project management, leveraging unique processes and modern quality standards. The company emphasizes innovation, tradition, and technical expertise in its operations."
12,manufacturing in Baden-Württemberg,rivoir.com,Hans Rivoir GmbH,"Hans Rivoir GmbH is a German family-owned company specializing in the high-quality manufacturing of jewelry. They combine traditional craftsmanship with modern techniques, offering services like OEM project development, diamond sourcing (natural and lab-grown), and expertise in enamel work. The company produces over 20,000 jewelry pieces annually, positioning itself as a quality leader in the industry."
12,manufacturing in Baden-Württemberg,romanvogler.de,Roman Vogler Steinmetzbetrieb,"This company is a traditional master stonemasonry business with a family history dating back to 1860. They specialize in designing and manufacturing gravestones, steles, fountains, stairs, and terraces, offering custom solutions in natural stone. They also provide services in the construction and garden sectors, emphasizing quality and design."
12,manufacturing in Baden-Württemberg,steng-lv.de,STENG LICHT,"STENG LICHT, operating as STENG-LV GmbH, specializes in architectural lighting. The company's website indicates offerings in products, manufacturing, sales, projects, and downloads, suggesting a comprehensive approach to lighting solutions. Their focus on architectural lighting positions them within the design and manufacturing sectors for specialized lighting fixtures."
12,manufacturing in Baden-Württemberg,wiggert.de,WIGGERT & Co. GmbH,"WIGGERT & Co. GmbH is a German company specializing in the development and production of custom concrete mixing and transport systems for the international market. With over 50 years of experience, they offer innovative engineering solutions, advanced concrete technologies, and comprehensive lifecycle support for the industrial manufacturing of various concrete products. Their mission is to partner with clients to meet future challenges in concrete production through quality, innovation, and reliability."
14,pharmaceutical companies,adoh.nl,ADOH B.V.,"ADOH B.V. is a Dutch pharmaceutical manufacturer and service provider, operating as part of the DADA group. The company specializes in providing marketing authorization services, acting as a formal holder for medicinal products for non-European and European pharmaceutical companies. They also offer batch release and testing, GMP/GLP/GDP/GCP/GVP auditing services, and manufacturing and importation authorization."
15,logistics companies in the US,dkp-express.com,DKP Express,"DKP Express is an asset-based expedited and hotshot carrier established in 2012, specializing in time-critical deliveries across the US using a fleet of small and large straight trucks. They offer courier, white glove, and hand-carry services, focusing on supply chain solutions for large companies needing fast and reliable deliveries. DKP Express has been recognized for its rapid growth, ranking on the INC 5000 lists."
15,logistics companies in the US,johnnyairpadala.com,Johnny Air Cargo,"Johnny Air Cargo is a logistics and freight forwarding company specializing in shipping services from the US to the Philippines. They offer air freight, online shopping assistance, door-to-door delivery, and package consolidation. Their mission is to provide reliable, efficient, and affordable shipping solutions, connecting individuals and businesses across borders."
15,logistics companies in the US,postalexpress.com,GLS,"GLS is a parcel delivery service operating primarily in the US, offering services like parcel shipping, rate calculation, and tracking. They focus on providing flexible pickup options, integrations with partners, and competitive pricing, particularly for business shippers. GLS also emphasizes environmental sustainability in its logistics operations and has a strong presence in wine shipping."
27,biotech companies,arietiscorp.com,Arietis Corporation,"Arietis Corporation is a biotechnology company focused on developing novel small molecule antibiotics to combat drug-resistant bacterial pathogens. Their proprietary technology activates the ClpP protease, leading to bacterial self-digestion and effective killing of resistant strains, including ESKAPE pathogens and Streptococcus pneumoniae. This approach aims to treat complex infections like prosthetic joint infections and endocarditis, addressing a significant unmet clinical need in antimicrobial resistance."
27,biotech companies,incyte.com,Incyte,"Incyte is a global biopharmaceutical company focused on the discovery, development, and commercialization of innovative medicines for patients with unmet medical needs. The company's primary therapeutic areas include oncology and dermatology, with a strong emphasis on scientific excellence and innovation. Incyte operates globally, with a presence in multiple countries, and is dedicated to improving patient lives through its research and development efforts."
34,venture capital firms,deeptechxl.com,DeepTechXL Venture Capital,"DeepTechXL is a venture capital fund specializing in deep-tech investments, established in 2022 to fortify the Dutch deep-tech ecosystem. It leverages the expertise and networks of tech corporates, knowledge institutes, and impact investors. The fund focuses on technologies addressing key societal themes and contributing to the UN SDGs, providing ventures with funding, hands-on support, and access to a valuable ecosystem."
34,venture capital firms,firesideventures.com,Fireside Ventures,"Fireside Ventures is an investment firm focused on backing early-stage, digital-first consumer brands in India with the goal of scaling them globally. They manage significant capital and have invested in over 62 portfolio companies, emphasizing brands that are purpose-led and aim to do good while achieving commercial success. The firm also provides resources and insights through its 'Fireside Ignite' platform to help founders."
34,venture capital firms,kfcventures.com,KFC Ventures,"KFC Ventures is an investment firm that provides seed and growth-stage funding to B2B startups focused on creating revolutionary changes. As a branch of the Nityo Group, they aim to empower businesses with funds and expert guidance to achieve their goals. Their focus areas include Artificial Intelligence & Machine Learning, BFSI, Technology, and Security."
34,venture capital firms,purplearchventures.com,Purple Arch Ventures,"Purple Arch Ventures is a private investing community for Northwestern University alumni, offering both a diversified venture fund and deal-by-deal syndications. It focuses on investing in cutting-edge ventures, co-investing alongside leading venture capital firms, and providing members with access to venture deals with low minimums and shared due diligence. The community aims to leverage collective investment power for strategic exposure to venture capital."
56,defense contractors,aeroint.com.au,AEROINT,"AEROINT delivers world-class defence, aviation, and security solutions, combining global expertise with local insight. They specialize in advanced defence and security systems, aviation security and compliance, cyber security, and turnkey defence industry services. The company aims to transform defence and security challenges into actionable solutions, empowering clients to achieve operational superiority and maintain readiness."
56,defense contractors,envisioneeringinc.com,"Envisioneering, Inc.","Envisioneering, Inc. is a small business with 30 years of experience dedicated to mission support and technology development for U.S. national defense. They provide innovative solutions to government and commercial clients, employing experts in science, engineering, and analysis to solve complex technical and operational problems. Their services span scientific research, advanced technology development across the electromagnetic spectrum, systems engineering, and specialized support for special operations aviation and mobility solutions."
56,defense contractors,teamteq.se,TeamteQ,"TeamteQ is a company specializing in expert systems engineering services, particularly for the defense sector. They offer comprehensive solutions including C4I systems, system integration, and consultative services to enhance command and control, operational efficiency, and decision-making. With a focus on innovation and a proven track record, TeamteQ aims to elevate defense capabilities for its clients."
56,defense contractors,ultra-ats.com,Ultra I&C,"Ultra I&C specializes in Command & Control (C2) platforms, tactical communications, and encryption solutions for defense and security sectors. Their offerings include mission software, edge compute, and optimization tools designed to fuse data across domains, providing commanders with real-time operational clarity. The company focuses on delivering resilient, secure, and high-speed communication and data processing capabilities for ground, sea, and air operations."
66,customer relationship management (CRM) software,abusiness.net,aBusiness Suite,"aBusiness Suite is a comprehensive business management platform designed for small and medium-sized enterprises. It digitizes core business areas including sales, email marketing, customer onboarding, and retention, leveraging over 200 AI-powered agents to enhance efficiency and quality. The platform aims to create robust, traceable processes, enabling businesses to operate smoothly even without constant owner oversight."
66,customer relationship management (CRM) software,bpmonline.com,Creatio,"Creatio is a global software company that provides a leading no-code platform for building AI-powered applications and automating workflows. Their platform combines CRM functionalities with low-code/no-code development tools and AI capabilities, enabling businesses to accelerate time-to-value and achieve digital transformation. Creatio serves various industries, offering solutions for sales, marketing, and customer service automation."
66,customer relationship management (CRM) software,knkcustomerengagement.de,knk Customer Engagement GmbH,"knk Customer Engagement GmbH provides intelligent and innovative software solutions for CRM, marketing automation, customer service, and business intelligence, specifically tailored for publishing houses and media companies. With 35 years of experience, they focus on optimizing sales processes, enhancing customer loyalty through cross-channel communication, and improving data analysis for better planning. Their offerings include knk365 suite for media sales, customer service, marketing automation, and BI, alongside AI products and integration frameworks."
66,customer relationship management (CRM) software,vitrue.com,Oracle,"Oracle is a global technology company providing integrated cloud applications and platform services. They offer a wide range of solutions including cloud infrastructure, database management, enterprise resource planning (ERP), human capital management (HCM), and customer relationship management (CRM). Oracle serves businesses of all sizes across various industries, aiming to help them innovate and grow through their comprehensive technology offerings."
72,managed service providers (MSPs),acstampabay.com,Affordable Computer Solutions,"Affordable Computer Solutions provides comprehensive managed IT services, including network services, cloud solutions, VoIP, CCTV security, and website design. They focus on proactive monitoring, maintenance, and repair of IT infrastructure to ensure business continuity and growth. Their mission is to act as a dedicated IT department for businesses, allowing clients to concentrate on their core operations."
72,managed service providers (MSPs),beclever.solutions,Devoteam,"Devoteam is a global technology consulting firm that drives business transformation through AI, cloud, data, and cybersecurity solutions. They partner with leading technology providers like AWS, Google Cloud, Microsoft, and ServiceNow to offer a wide range of services including digital workplace, managed cloud services, and sustainable IT. The company focuses on helping clients innovate securely and responsibly, aiming to be a leader in enterprise technology."
72,managed service providers (MSPs),cnworks.net,ITonDemand,"ITonDemand provides comprehensive managed IT services, cybersecurity, compliance, and consulting nationwide. They offer a range of solutions including IT help desk support, network management, data backup, 24/7 monitoring, and proactive cybersecurity strategies. The company also assists organizations with IT compliance requirements for various industries and offers tailored service packages to meet diverse business needs."
72,managed service providers (MSPs),connectiv.com.au,Connectiv,"Connectiv is a leading managed ICT and Network services provider, acting as Telstra's No. 1 Platinum partner in Western Australia. They specialize in making complex IT environments simple for businesses by offering managed mobility, ICT, networks, and security services. Their integrated approach aims to be both an ICT and telco partner, providing comprehensive management of devices, platforms, users, and providers."
72,managed service providers (MSPs),itghealthcare.com,Integrated Technology Group,"Integrated Technology Group (ITG) provides comprehensive IT services and support, specializing in managed IT services, cloud integration, continuity planning, and cybersecurity solutions. They focus on helping medical practices optimize their systems, improve patient throughput, and maintain HIPAA compliance. ITG offers 24/7 monitoring and a guaranteed 1-hour response time for critical issues, positioning itself as a dedicated technology partner for healthcare providers."
72,managed service providers (MSPs),techonsite.com,TechOnsite,"TechOnsite is a managed IT services provider based in Los Angeles, specializing in offering proactive IT support, cybersecurity, and CIO solutions to small and medium-sized businesses. They aim to provide technology peace of mind by minimizing downtime, enhancing efficiency, and ensuring security, allowing clients to focus on business growth. Their services include managed IT, managed cybersecurity, and virtual CIO services."
82,public relations agencies,bode-fach.com,BODE Fach-PR GmbH,"BODE Fach-PR GmbH is a specialized public relations and editorial service provider focusing on complex industrial, technical, and service-oriented topics, including international outreach. They offer services such as writing technical articles, editorial contributions, press releases, and developing tailored communication strategies. The company acts as an extended workbench for corporate press departments and an outsourced editorial team for trade publications and PR agencies, aiming to deliver high-quality content and impactful PR."
82,public relations agencies,secnewgate.eu,SEC Newgate EU,"SEC Newgate EU is a Brussels-based consultancy specializing in EU public affairs and public relations. As part of the global SEC Newgate Group, they offer a comprehensive suite of services including association management, digital communications, event management, government relations, media relations, policy communications, and stakeholder engagement. Their expertise lies in navigating EU institutions and shaping opinions for clients across various sectors."
91,investment management firms,completefp.co.uk,Fairstone,"Fairstone is a full-service wealth management house offering intelligent financial solutions for clients' lifetime financial journeys. They provide independent financial advice, investment management, and estate planning services, incorporating one of the UK's largest Chartered financial planning firms. The company aims to help clients grow, plan, and protect their financial future, with a strong focus on client-centricity and whole-of-market choice."
91,investment management firms,franklinresources.com,"Franklin Resources, Inc.","Franklin Resources, Inc., operating as Franklin Templeton, is a global investment management organization. They offer a wide range of investment products and services, including mutual funds, ETFs, and alternative investment solutions, catering to both institutional and retail investors worldwide. The company focuses on providing investment expertise and financial solutions to help clients achieve their financial goals."
91,investment management firms,kenfisher.com,Fisher Investments,"Fisher Investments is an independent, fee-only investment advisory firm founded in 1979 by Ken Fisher. The firm manages over $386 billion in assets for more than 195,000 private and institutional clients globally. It specializes in tailored, goals-focused portfolio management and proactive client service, guided by Ken Fisher's investing philosophy."
91,investment management firms,natam.lu,NATAM,"NATAM is a management company based in Luxembourg that provides services to institutional investors, asset managers, and investment firms. Authorized under UCITS and AIFMD regimes, it offers investment management, risk management, legal compliance, administration, governance, and marketing support. As part of a banking group, NATAM emphasizes competence, accuracy, and reliability in its operations, aiming to understand and satisfy client needs with high-quality, bespoke financial services."
91,investment management firms,nightingaleonline.net,Nightingale Asset Management Asia,"Nightingale Asset Management Asia is an investment management firm specializing in providing tailored portfolio management and cryptocurrency services for affluent individual and institutional investors. They focus on a quality-driven, long-term investment approach, emphasizing rigorous processes, risk management, and client success. The firm offers services for individual, private, and institutional investors, alongside dedicated cryptocurrency solutions leveraging blockchain technology."
91,investment management firms,palermowealth.com,Palermo Wealth,"Palermo Wealth is an independent financial advisory firm offering personalized financial planning and ongoing investment management services. They differentiate themselves from traditional Wall Street firms, banks, and insurance companies by operating solely in the client's best interest as a fiduciary, without hidden costs or third-party commissions. Their mission is to help clients remove financial doubts, build trust, and achieve their goals with peace of mind."
92,wealth management firms,cjcwealth.com,CJ Campbell & Associates / CJC Wealth Management,"CJ Campbell & Associates and CJC Wealth Management are independent financial services firms focused on helping individuals achieve financial independence throughout retirement. They offer personalized retirement income strategies, long-term care planning, asset management, annuities, life insurance, and tax-efficient strategies. Their approach is disciplined, transparent, and tailored to each client's unique financial situation and goals, emphasizing a high standard of client servicing."
92,wealth management firms,flohrasset.com,Flohr Asset Management,"Flohr Asset Management is an alternative investment specialist that provides exclusive wealth-management opportunities and customized financial strategies. They focus on offering clients access to a wide range of alternative investments not typically available through traditional firms, after conducting extensive due diligence. Their mission is to be a partner in successful investing by leveraging expertise and a broad network to deliver quality and diversified solutions."
99,vertical farming companies,funghiespresso.com,Funghi Espresso,"Funghi Espresso is an agricultural startup that cultivates mushrooms using coffee grounds as a substrate, inspired by Blue Economy principles. They aim to transform waste into resources, producing mushrooms with minimal environmental impact through vertical farming and natural methods. The company offers various mushroom types and provides kits for home cultivation, emphasizing sustainability and taste."
99,vertical farming companies,sananbio.com,SANANBIO,"SANANBIO is a global photobiotech supplier specializing in controlled environment agriculture solutions. They offer integrated systems for horticultural lighting, grow systems, and farm climate control, including turnkey solutions like the UPLIFT and RADIX Plant Factories. Their mission is to create controllable environments and artificial light sources to help growers yield more, positioning them as a key player in advanced horticultural technology."
101,alternative protein manufacturers,thevegetarianbutcher.com,The Vegetarian Butcher,"The Vegetarian Butcher is a leading global brand specializing in plant-based meat products designed to mimic the taste and texture of traditional butcher classics. Founded in 2010, the company aims to drive a worldwide food revolution by making plant-based eating accessible and delicious, positioning itself as a 'meat successor' rather than a substitute. Their mission emphasizes sustainability and reducing the environmental impact of food production by removing animals from the supply chain."
101,alternative protein manufacturers,winsect.com,Winsect B.V.,"Winsect is a Dutch company operating a mealworm farm that converts waste streams into insect protein and organic fertilizers. They produce various fertilizer pellets from mealworm manure, emphasizing sustainability and zero emissions in their animal agriculture process. The company aims to establish insect farming as a common practice alongside traditional livestock farming."
